Timestamp,Load Cell 1,Load Cell 2
2024-08-21 09:52:00,-3589.77,7680.7
2024-08-21 09:52:01,-2916.17,19154.3
2024-08-21 09:52:02,1047.21,-5698.63
2024-08-21 09:52:03,-3078.55,29600.3
2024-08-21 09:52:04,1777.71,3141.57
2024-08-21 09:52:05,597.41,30950.3
2024-08-21 09:52:06,-183.845,12885.3
2024-08-21 09:52:07,-2022.25,7043.38
2024-08-21 09:52:08,1195.93,35237.8
2024-08-21 09:52:09,-751.65,-4211.65
2024-08-21 09:52:10,-136.939,29566.9
2024-08-21 09:52:11,-3831.34,4060.73
2024-08-21 09:52:12,2682.18,27922.6
2024-08-21 09:52:13,-493.975,44493.8
2024-08-21 09:52:14,915.457,27441.4
2024-08-21 09:52:15,-3921.48,31640.3
2024-08-21 09:52:16,-549.702,21935.9
2024-08-21 09:52:17,-1609.07,7592.82
2024-08-21 09:52:18,-3917.9,50191.2
2024-08-21 09:52:19,-304.658,49122.4
2024-08-21 09:52:20,735.911,9747.12
2024-08-21 09:52:21,94.1576,22559.3
2024-08-21 09:52:22,1011.38,14376.1
2024-08-21 09:52:23,2038.17,-7521.3
2024-08-21 09:52:24,-3722.06,20203
2024-08-21 09:52:25,-3536.45,7862.74
2024-08-21 09:52:26,-601.025,43033.5
2024-08-21 09:52:27,-2637.98,25563.3
2024-08-21 09:52:28,1733.36,25346.4
2024-08-21 09:52:29,2675.17,26016.3
2024-08-21 09:52:30,-125.514,47212.3
2024-08-21 09:52:31,1306.55,40656.6
2024-08-21 09:52:32,886.683,-2175.33
2024-08-21 09:52:33,2461.89,17526.9
2024-08-21 09:52:34,-1371.39,1738.2
2024-08-21 09:52:35,-925.72,-187.216
2024-08-21 09:52:36,2327.92,26219.7
2024-08-21 09:52:37,-722.277,19972.2
2024-08-21 09:52:38,689.707,13504.6
2024-08-21 09:52:39,1265.28,41786.6
2024-08-21 09:52:40,1395.29,14672.3
2024-08-21 09:52:41,306.216,11264.7
2024-08-21 09:52:42,1185.24,4672.05
2024-08-21 09:52:43,-1882.62,25524.6
2024-08-21 09:52:44,-1917.37,3921.84
2024-08-21 09:52:45,-2661.35,41998.8
2024-08-21 09:52:46,2215.8,23923.4
2024-08-21 09:52:47,156.616,22647.6
2024-08-21 09:52:48,1233.26,30800
2024-08-21 09:52:49,1862.66,49449.1
2024-08-21 09:52:50,979.884,50452.6
2024-08-21 09:52:51,-2531.9,42758.9
2024-08-21 09:52:52,-1580.74,43087
2024-08-21 09:52:53,-660.877,20681.2
2024-08-21 09:52:54,1623.69,39415.6
2024-08-21 09:52:55,-3283.17,30828.8
2024-08-21 09:52:56,2214.98,42104.8
2024-08-21 09:52:57,-1131.99,10833.6
2024-08-21 09:52:58,-3251.65,3942.97
2024-08-21 09:52:59,-2471.96,25094.8
2024-08-21 09:53:00,2883.5,27343.7
2024-08-21 09:53:01,-3279.43,44716.5
2024-08-21 09:53:02,1158.56,46041.5
2024-08-21 09:53:03,527.562,23888.4
2024-08-21 09:53:04,-341.425,10212.9
2024-08-21 09:53:05,-1719.33,30613.7
2024-08-21 09:53:06,2236.93,33721.2
2024-08-21 09:53:07,-1630.72,-4171.28
2024-08-21 09:53:08,1751.74,48611.6
2024-08-21 09:53:09,-1270.82,37221.1
2024-08-21 09:53:10,809.178,6739.52
2024-08-21 09:53:11,-2191.59,44891.4
2024-08-21 09:53:12,2271.2,44572.8
2024-08-21 09:53:13,1587.47,6106.33
2024-08-21 09:53:14,-1934.73,14542.7
