Timestamp,Load Cell 1
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
2024-10-30 20:28:18,3535.03
