Timestamp,Load Cell 1,Load Cell 2,Load Cell 3,Load Cell 4
2024-08-09 16:48:35,29.3207,100.509,nan,8.84669
2024-08-09 16:48:36,-126.271,25.5735,nan,1.69578
2024-08-09 16:48:37,125.221,20.5759,nan,5.17933
2024-08-09 16:48:38,59.272,98.8532,nan,16.2516
2024-08-09 16:48:39,142.384,-55.7151,nan,3.40882
2024-08-09 16:48:40,60.8228,-65.3654,nan,12.768
2024-08-09 16:48:41,109.213,28.2679,nan,15.6465
2024-08-09 16:48:42,155.025,-0.941482,nan,12.147
2024-08-09 16:48:43,-113.91,-22.9046,nan,5.78138
2024-08-09 16:48:44,-58.5788,-70.1945,nan,11.5434
2024-08-09 16:48:45,-168.354,-54.6492,nan,6.71662
2024-08-09 16:48:46,45.8665,61.6776,nan,13.5541
2024-08-09 16:48:47,-72.7654,-9.84684,nan,6.7192
2024-08-09 16:48:48,-8.74692,-51.566,nan,11.3831
2024-08-09 16:48:49,-18.3746,-64.9858,nan,3.42112
2024-08-09 16:48:50,80.6217,-9.65022,nan,8.34729
2024-08-09 16:48:51,35.5651,-75.6661,nan,2.04013
2024-08-09 16:48:52,-104.559,-78.3177,nan,5.93265
2024-08-09 16:48:53,-95.1352,54.6769,nan,4.10745
2024-08-09 16:48:54,-48.9456,-74.3482,nan,3.53309
2024-08-09 16:48:55,63.0938,-19.6432,nan,3.23912
2024-08-09 16:48:56,-124.541,-47.0017,nan,12.0156
2024-08-09 16:48:57,50.6177,11.2508,nan,7.64177
2024-08-09 16:48:58,147.907,-64.3977,nan,16.1622
2024-08-09 16:48:59,-167.758,-57.9476,nan,14.0573
2024-08-09 16:49:00,-23.8646,-4.06665,nan,16.3445
2024-08-09 16:49:01,79.5957,24.3457,nan,16.0459
2024-08-09 16:49:02,-133.525,35.348,nan,10.3788
2024-08-09 16:49:03,-11.7073,24.7492,nan,11.8187
2024-08-09 16:49:04,76.4481,-44.7659,nan,2.22543
2024-08-09 16:49:05,-84.4164,54.2328,nan,12.9679
2024-08-09 16:49:06,78.644,-56.3142,nan,9.68513
2024-08-09 16:49:07,-160.858,10.5629,nan,14.1607
2024-08-09 16:49:08,93.8392,59.9455,nan,3.05747
2024-08-09 16:49:09,152.825,-41.5771,nan,9.89322
2024-08-09 16:49:10,168.497,46.1521,nan,8.61902
2024-08-09 16:49:11,68.4891,72.5654,nan,14.2612
2024-08-09 16:49:12,22.4209,-60.8174,nan,5.65082
2024-08-09 16:49:13,-82.8338,27.4347,nan,5.90549
2024-08-09 16:49:14,53.6727,-12.1505,nan,1.72089
2024-08-09 16:49:15,-13.5504,-69.7292,nan,3.26842
2024-08-09 16:49:16,124.099,31.2827,nan,6.06363
2024-08-09 16:49:17,107.032,18.3493,nan,11.9526
2024-08-09 16:49:18,-64.4874,-3.29422,nan,15.4712
2024-08-09 16:49:19,111.17,61.4919,nan,7.95102
2024-08-09 16:49:20,112.027,12.3163,nan,14.9606
2024-08-09 16:49:21,-44.9159,79.0774,nan,8.81719
2024-08-09 16:49:22,-54.4383,-61.7615,nan,14.2686
2024-08-09 16:49:23,-114.113,-0.564837,nan,6.57673
2024-08-09 16:49:24,17.3184,56.8787,nan,1.41225
2024-08-09 16:49:25,75.8173,-18.3725,nan,15.8678
2024-08-09 16:49:26,-165.591,10.2336,nan,9.22653
2024-08-09 16:49:27,44.4863,74.8711,nan,14.0627
2024-08-09 16:49:28,-107.968,-5.38891,nan,12.5131
2024-08-09 16:49:29,145.658,-78.2375,nan,13.205
2024-08-09 16:49:30,0.127316,52.7427,nan,10.6765
2024-08-09 16:49:31,100.179,74.2282,nan,16.4636
2024-08-09 16:49:32,96.7428,-44.7593,nan,9.82227
2024-08-09 16:49:33,-96.7452,10.8776,nan,8.75317
2024-08-09 16:49:34,-163.736,87.864,nan,16.2487
2024-08-09 16:49:35,147.723,82.1529,nan,13.8405
2024-08-09 16:49:36,-154.586,5.2411,nan,8.01796
2024-08-09 16:49:37,163.329,26.732,nan,3.33283
2024-08-09 16:49:38,76.804,-25.4227,nan,1.85215
2024-08-09 16:49:39,66.7975,75.5936,nan,9.29225
2024-08-09 16:49:40,67.8315,-61.6039,nan,6.91385
2024-08-09 16:49:41,131.258,49.1202,nan,10.8578
2024-08-09 16:49:42,32.8322,-25.4154,nan,11.8852
2024-08-09 16:49:43,-13.2315,6.39002,nan,5.49647
2024-08-09 16:49:44,38.8787,94.0072,nan,7.5132
2024-08-09 16:49:45,-135.698,82.3345,nan,4.45308
2024-08-09 16:49:46,105.435,-29.599,nan,14.554
2024-08-09 16:49:47,-134.53,81.6003,nan,10.3754
2024-08-09 16:49:48,-40.6367,40.6939,nan,4.2713
